region,date,iHosp,iICU,inHosp,inICU
ARA,2020-03-01,8,0,8,0
ARA,2020-03-02,10,1,17,1
ARA,2020-03-03,4,1,20,2
ARA,2020-03-04,10,2,28,4
ARA,2020-03-05,14,1,41,5
ARA,2020-03-06,16,2,45,7
ARA,2020-03-07,10,0,50,7
ARA,2020-03-08,7,2,53,9
ARA,2020-03-09,18,0,49,9
ARA,2020-03-10,18,2,57,11
ARA,2020-03-11,30,3,82,14
ARA,2020-03-12,26,3,100,17
ARA,2020-03-13,46,7,125,23
ARA,2020-03-14,26,6,135,28
ARA,2020-03-15,45,11,158,39
ARA,2020-03-16,108,23,228,60
ARA,2020-03-17,85,16,276,73
ARA,2020-03-18,213,15,394,84
ARA,2020-03-19,136,19,481,94
ARA,2020-03-20,178,22,600,105
ARA,2020-03-21,148,32,676,131
ARA,2020-03-22,185,45,791,172
ARA,2020-03-23,255,52,915,213
ARA,2020-03-24,250,60,1021,262
ARA,2020-03-25,322,77,1170,325
ARA,2020-03-26,354,80,1340,385
ARA,2020-03-27,397,78,1527,444
ARA,2020-03-28,262,68,1629,489
ARA,2020-03-29,254,65,1750,540
ARA,2020-03-30,354,77,1845,598
ARA,2020-03-31,316,62,1912,635
ARA,2020-04-01,242,56,1868,667
ARA,2020-04-02,290,38,1931,680
ARA,2020-04-03,268,60,1941,699
ARA,2020-04-04,198,37,1988,707
ARA,2020-04-05,153,30,2070,706
ARA,2020-04-06,231,35,2033,691
ARA,2020-04-07,199,32,1992,680
ARA,2020-04-08,174,34,1921,669
ARA,2020-04-09,208,25,1932,650
ARA,2020-04-10,206,27,1913,631
ARA,2020-04-11,111,18,1922,630
ARA,2020-04-12,93,15,1956,624
ARA,2020-04-13,116,11,1986,611
ARA,2020-04-14,163,23,1914,584
ARA,2020-04-15,164,26,1847,565
ARA,2020-04-16,131,23,1803,545
ARA,2020-04-17,140,15,1713,517
ARA,2020-04-18,95,15,1730,523
ARA,2020-04-19,58,11,1746,524
ARA,2020-04-20,122,15,1668,497
ARA,2020-04-21,111,10,1630,466
ARA,2020-04-22,104,8,1590,437
ARA,2020-04-23,98,11,1538,423
ARA,2020-04-24,91,4,1492,400
ARA,2020-04-25,53,5,1494,400
ARA,2020-04-26,44,7,1515,393
ARA,2020-04-27,75,5,1433,359
ARA,2020-04-28,83,12,1371,353
ARA,2020-04-29,54,8,1310,338
ARA,2020-04-30,68,12,1217,326
ARA,2020-05-01,51,6,1242,317
ARA,2020-05-02,39,9,1246,320
ARA,2020-05-03,39,6,1265,317
ARA,2020-05-04,41,3,1172,296
ARA,2020-05-05,44,8,1111,276
ARA,2020-05-06,29,7,1027,257
ARA,2020-05-07,50,3,982,236
ARA,2020-05-08,20,2,968,225
ARA,2020-05-09,22,8,967,228
ARA,2020-05-10,26,3,978,229
ARA,2020-05-11,35,4,901,217
ARA,2020-05-12,33,3,853,195
ARA,2020-05-13,33,2,805,185
ARA,2020-05-14,23,2,751,167
ARA,2020-05-15,36,4,715,162
ARA,2020-05-16,15,3,719,160
ARA,2020-05-17,15,2,723,161
ARA,2020-05-18,18,3,655,147
ARA,2020-05-19,15,1,599,135
ARA,2020-05-20,22,1,550,118
ARA,2020-05-21,18,2,557,116
ARA,2020-05-22,24,0,553,109
ARA,2020-05-23,11,5,554,113
ARA,2020-05-24,6,0,555,111
ARA,2020-05-25,21,4,510,107
ARA,2020-05-26,14,2,492,100
ARA,2020-05-27,6,3,454,99
ARA,2020-05-28,12,3,417,92
ARA,2020-05-29,13,2,393,88
ARA,2020-05-30,7,1,393,86
ARA,2020-05-31,11,0,402,81
ARA,2020-06-01,5,0,399,80
ARA,2020-06-02,9,2,368,78
ARA,2020-06-03,8,0,344,68
ARA,2020-06-04,8,0,327,63
ARA,2020-06-05,4,1,310,60
ARA,2020-06-06,10,3,309,62
ARA,2020-06-07,2,0,307,61
ARA,2020-06-08,5,0,305,57
ARA,2020-06-09,5,0,292,53
ARA,2020-06-10,6,1,286,47
ARA,2020-06-11,5,0,265,44
ARA,2020-06-12,4,0,254,42
ARA,2020-06-13,2,0,252,42
ARA,2020-06-14,10,0,258,41
ARA,2020-06-15,11,2,253,41
ARA,2020-06-16,9,1,247,37
ARA,2020-06-17,5,0,234,36
ARA,2020-06-18,6,0,229,31
ARA,2020-06-19,4,1,211,31
ARA,2020-06-20,2,0,209,30
ARA,2020-06-21,7,0,215,29
ARA,2020-06-22,4,1,206,28
ARA,2020-06-23,4,0,202,25
ARA,2020-06-24,3,1,200,25
ARA,2020-06-25,8,2,198,27
ARA,2020-06-26,5,1,192,27
ARA,2020-06-27,5,1,195,28
ARA,2020-06-28,6,2,198,26
ARA,2020-06-29,7,1,197,26
ARA,2020-06-30,5,0,191,25
ARA,2020-07-01,4,0,186,23
ARA,2020-07-02,4,1,182,23
ARA,2020-07-03,5,1,182,23
ARA,2020-07-04,3,0,183,23
ARA,2020-07-05,1,1,183,24
ARA,2020-07-06,5,3,181,26
ARA,2020-07-07,4,1,179,25
ARA,2020-07-08,4,1,174,25
ARA,2020-07-09,12,1,183,23
ARA,2020-07-10,8,1,183,24
ARA,2020-07-11,2,1,179,25
ARA,2020-07-12,2,0,180,24
ARA,2020-07-13,10,1,182,23
ARA,2020-07-14,4,0,181,23
ARA,2020-07-15,5,2,177,22
ARA,2020-07-16,7,2,171,24
ARA,2020-07-17,9,2,170,24
ARA,2020-07-18,2,1,169,24
ARA,2020-07-19,4,0,172,24
ARA,2020-07-20,5,0,171,23
ARA,2020-07-21,8,1,169,23
ARA,2020-07-22,3,0,167,23
ARA,2020-07-23,9,2,167,25
ARA,2020-07-24,3,0,161,20
ARA,2020-07-25,7,0,169,19
ARA,2020-07-26,6,1,174,20
ARA,2020-07-27,9,2,172,21
ARA,2020-07-28,4,0,167,20
ARA,2020-07-29,5,0,168,18
ARA,2020-07-30,4,1,160,19
ARA,2020-07-31,10,1,162,19
ARA,2020-08-01,6,2,164,18
ARA,2020-08-02,5,0,165,19
ARA,2020-08-03,6,1,164,20
ARA,2020-08-04,17,4,168,23
ARA,2020-08-05,9,1,170,24
ARA,2020-08-06,10,2,164,25
ARA,2020-08-07,3,0,163,23
ARA,2020-08-08,4,0,165,23
ARA,2020-08-09,15,0,178,23
ARA,2020-08-10,9,2,175,23
ARA,2020-08-11,12,0,183,23
ARA,2020-08-12,7,0,185,22
ARA,2020-08-13,9,4,182,25
ARA,2020-08-14,5,0,179,25
ARA,2020-08-15,9,2,186,25
ARA,2020-08-16,12,1,198,24
ARA,2020-08-17,10,0,194,21
ARA,2020-08-18,10,2,191,18
ARA,2020-08-19,8,1,188,17
ARA,2020-08-20,9,1,189,17
ARA,2020-08-21,18,4,194,19
ARA,2020-08-22,11,0,200,19
ARA,2020-08-23,14,1,209,20
ARA,2020-08-24,18,1,215,19
ARA,2020-08-25,14,2,216,19
ARA,2020-08-26,23,4,224,22
ARA,2020-08-27,30,6,242,26
ARA,2020-08-28,17,4,241,28
ARA,2020-08-29,14,3,249,30
ARA,2020-08-30,18,4,261,33
ARA,2020-08-31,22,6,260,37
ARA,2020-09-01,41,6,280,41
ARA,2020-09-02,40,5,306,43
ARA,2020-09-03,36,8,315,50
ARA,2020-09-04,49,11,336,57
ARA,2020-09-05,33,3,356,59
ARA,2020-09-06,18,2,365,58
ARA,2020-09-07,45,7,369,62
ARA,2020-09-08,55,9,394,69
ARA,2020-09-09,47,7,406,76
ARA,2020-09-10,48,4,422,76
ARA,2020-09-11,67,8,463,76
ARA,2020-09-12,58,10,501,83
ARA,2020-09-13,41,9,526,88
ARA,2020-09-14,74,11,544,95
ARA,2020-09-15,76,16,566,102
ARA,2020-09-16,68,7,589,98
ARA,2020-09-17,84,13,619,105
ARA,2020-09-18,73,14,620,115
ARA,2020-09-19,45,15,627,123
ARA,2020-09-20,54,14,662,129
ARA,2020-09-21,104,20,681,134
ARA,2020-09-22,70,13,688,138
ARA,2020-09-23,72,13,686,142
ARA,2020-09-24,70,15,701,145
ARA,2020-09-25,79,14,705,146
ARA,2020-09-26,63,7,739,144
ARA,2020-09-27,55,15,756,156
ARA,2020-09-28,89,16,764,156
ARA,2020-09-29,72,10,766,155
ARA,2020-09-30,88,16,795,158
ARA,2020-10-01,97,15,813,164
ARA,2020-10-02,89,13,832,161
ARA,2020-10-03,77,14,872,169
ARA,2020-10-04,70,11,917,176
ARA,2020-10-05,87,16,903,179
ARA,2020-10-06,115,18,940,184
ARA,2020-10-07,101,19,949,189
ARA,2020-10-08,130,19,992,194
ARA,2020-10-09,152,18,1044,195
ARA,2020-10-10,116,19,1112,208
ARA,2020-10-11,125,20,1202,218
ARA,2020-10-12,190,26,1272,232
ARA,2020-10-13,175,28,1336,249
ARA,2020-10-14,228,35,1446,258
ARA,2020-10-15,224,33,1547,270
ARA,2020-10-16,276,33,1676,284
ARA,2020-10-17,226,22,1827,290
ARA,2020-10-18,228,41,1979,316
ARA,2020-10-19,328,57,2120,348
ARA,2020-10-20,363,54,2300,374
ARA,2020-10-21,334,41,2443,385
ARA,2020-10-22,399,62,2624,420
ARA,2020-10-23,391,58,2778,438
ARA,2020-10-24,317,49,2955,461
ARA,2020-10-25,334,66,3145,500
ARA,2020-10-26,494,77,3303,527
ARA,2020-10-27,495,78,3463,550
ARA,2020-10-28,468,73,3605,589
ARA,2020-10-29,514,69,3750,608
ARA,2020-10-30,504,80,3852,636
ARA,2020-10-31,430,55,4048,651
ARA,2020-11-01,423,76,4277,681
ARA,2020-11-02,625,91,4445,707
ARA,2020-11-03,593,82,4556,748
ARA,2020-11-04,517,97,4632,782
ARA,2020-11-05,563,91,4694,800
ARA,2020-11-06,523,82,4657,814
ARA,2020-11-07,407,82,4791,853
ARA,2020-11-08,384,73,4962,891
ARA,2020-11-09,563,76,4960,886
ARA,2020-11-10,529,82,4940,892
ARA,2020-11-11,355,57,5014,909
ARA,2020-11-12,452,84,4886,919
ARA,2020-11-13,446,82,4705,928
ARA,2020-11-14,365,60,4853,941
ARA,2020-11-15,248,47,4930,950
ARA,2020-11-16,401,76,4722,942
ARA,2020-11-17,347,43,4554,924
ARA,2020-11-18,335,55,4385,905
ARA,2020-11-19,291,44,4207,896
ARA,2020-11-20,299,42,4011,866
ARA,2020-11-21,204,40,4018,870
ARA,2020-11-22,147,32,4057,858
ARA,2020-11-23,252,46,3825,829
ARA,2020-11-24,241,46,3636,801
ARA,2020-11-25,222,37,3471,782
ARA,2020-11-26,222,32,3339,755
ARA,2020-11-27,234,27,3197,736
ARA,2020-11-28,145,21,3233,716
ARA,2020-11-29,121,23,3262,721
ARA,2020-11-30,209,35,3093,696
ARA,2020-12-01,217,30,2987,673
ARA,2020-12-02,202,26,2909,652
ARA,2020-12-03,185,22,2828,623
ARA,2020-12-04,181,17,2757,584
ARA,2020-12-05,132,30,2789,586
ARA,2020-12-06,126,23,2837,593
ARA,2020-12-07,176,33,2761,564
ARA,2020-12-08,160,32,2641,557
ARA,2020-12-09,166,26,2574,544
ARA,2020-12-10,163,22,2503,527
ARA,2020-12-11,188,43,2416,523
ARA,2020-12-12,125,27,2438,526
ARA,2020-12-13,96,19,2467,525
ARA,2020-12-14,182,29,2391,517
ARA,2020-12-15,154,26,2285,491
ARA,2020-12-16,185,31,2228,480
ARA,2020-12-17,149,17,2183,459
ARA,2020-12-18,196,17,2145,437
ARA,2020-12-19,141,20,2196,446
ARA,2020-12-20,111,21,2233,464
ARA,2020-12-21,153,23,2168,456
ARA,2020-12-22,163,20,2122,442
ARA,2020-12-23,193,20,2095,422
ARA,2020-12-24,176,25,2052,421
ARA,2020-12-25,82,19,2058,425
ARA,2020-12-26,117,29,2077,437
ARA,2020-12-27,104,17,2136,433
ARA,2020-12-28,213,31,2178,425
ARA,2020-12-29,175,19,2179,400
ARA,2020-12-30,170,29,2155,387
ARA,2020-12-31,120,15,2062,374
ARA,2021-01-01,109,11,2104,373
ARA,2021-01-02,116,28,2128,381
ARA,2021-01-03,123,25,2204,393
ARA,2021-01-04,197,37,2185,390
ARA,2021-01-05,183,19,2191,380
ARA,2021-01-06,165,27,2118,375
ARA,2021-01-07,184,22,2103,368
ARA,2021-01-08,152,29,2046,368
ARA,2021-01-09,134,20,2101,369
ARA,2021-01-10,109,24,2150,385
ARA,2021-01-11,183,29,2124,371
ARA,2021-01-12,185,30,2101,371
ARA,2021-01-13,209,33,2093,375
ARA,2021-01-14,196,28,2081,379
ARA,2021-01-15,253,49,2106,393
ARA,2021-01-16,155,27,2182,397
ARA,2021-01-17,105,23,2231,401
ARA,2021-01-18,229,44,2218,405
ARA,2021-01-19,190,26,2218,392
ARA,2021-01-20,182,41,2191,406
ARA,2021-01-21,196,28,2179,407
ARA,2021-01-22,211,30,2200,400
ARA,2021-01-23,121,27,2214,414
ARA,2021-01-24,126,28,2274,431
ARA,2021-01-25,192,43,2237,429
ARA,2021-01-26,198,28,2228,419
ARA,2021-01-27,179,33,2233,421
ARA,2021-01-28,150,31,2170,421
ARA,2021-01-29,193,32,2141,411
ARA,2021-01-30,144,34,2198,423
ARA,2021-01-31,130,23,2269,422
ARA,2021-02-01,168,32,2228,414
ARA,2021-02-02,207,24,2235,401
ARA,2021-02-03,192,33,2206,410
ARA,2021-02-04,197,28,2196,402
ARA,2021-02-05,179,32,2156,402
ARA,2021-02-06,133,23,2203,404
ARA,2021-02-07,114,26,2246,417
ARA,2021-02-08,172,27,2192,410
ARA,2021-02-09,186,36,2165,403
ARA,2021-02-10,159,30,2105,401
ARA,2021-02-11,156,34,2041,405
ARA,2021-02-12,159,27,1982,399
ARA,2021-02-13,119,27,2013,411
ARA,2021-02-14,97,35,2053,428
ARA,2021-02-15,151,31,1976,418
ARA,2021-02-16,167,31,1925,420
ARA,2021-02-17,154,29,1881,419
ARA,2021-02-18,150,32,1823,419
ARA,2021-02-19,147,34,1785,423
ARA,2021-02-20,103,23,1800,424
ARA,2021-02-21,97,27,1837,428
ARA,2021-02-22,147,36,1794,438
ARA,2021-02-23,147,24,1770,428
ARA,2021-02-24,159,35,1736,430
ARA,2021-02-25,122,37,1668,442
ARA,2021-02-26,160,34,1658,434
ARA,2021-02-27,90,25,1684,434
ARA,2021-02-28,96,38,1724,457
ARA,2021-03-01,152,38,1658,450
ARA,2021-03-02,151,29,1646,449
ARA,2021-03-03,138,30,1617,437
ARA,2021-03-04,138,33,1596,435
ARA,2021-03-05,123,22,1556,422
ARA,2021-03-06,107,32,1568,438
ARA,2021-03-07,81,23,1592,451
ARA,2021-03-08,141,32,1550,447
ARA,2021-03-09,137,30,1523,430
ARA,2021-03-10,124,26,1506,430
ARA,2021-03-11,144,38,1474,437
ARA,2021-03-12,138,31,1441,431
ARA,2021-03-13,105,17,1491,427
ARA,2021-03-14,107,31,1554,445
ARA,2021-03-15,172,37,1531,441
ARA,2021-03-16,137,31,1519,441
ARA,2021-03-17,153,34,1516,428
ARA,2021-03-18,164,39,1511,432
ARA,2021-03-19,175,43,1521,439
ARA,2021-03-20,128,37,1559,462
ARA,2021-03-21,121,27,1620,467
ARA,2021-03-22,197,46,1622,475
ARA,2021-03-23,229,36,1662,470
ARA,2021-03-24,165,34,1651,465
ARA,2021-03-25,226,47,1657,471
ARA,2021-03-26,185,45,1649,472
ARA,2021-03-27,154,37,1725,490
ARA,2021-03-28,136,27,1808,501
ARA,2021-03-29,217,52,1803,512
ARA,2021-03-30,235,49,1832,508
ARA,2021-03-31,210,58,1840,531
ARA,2021-04-01,210,53,1858,546
ARA,2021-04-02,243,54,1869,554
ARA,2021-04-03,185,54,1917,575
ARA,2021-04-04,195,45,2004,600
ARA,2021-04-05,192,54,2076,631
ARA,2021-04-06,276,72,2071,649
ARA,2021-04-07,192,56,1986,657
ARA,2021-04-08,258,53,1996,648
ARA,2021-04-09,240,61,1962,651
ARA,2021-04-10,218,44,2079,658
ARA,2021-04-11,190,51,2173,680
ARA,2021-04-12,221,65,2092,685
ARA,2021-04-13,222,53,2066,671
ARA,2021-04-14,201,60,2005,691
ARA,2021-04-15,199,54,1958,685
ARA,2021-04-16,191,51,1905,674
ARA,2021-04-17,170,45,1953,690
ARA,2021-04-18,155,40,2035,692
ARA,2021-04-19,218,53,1971,690
ARA,2021-04-20,208,45,1935,678
ARA,2021-04-21,185,49,1881,684
ARA,2021-04-22,173,52,1832,677
ARA,2021-04-23,192,48,1764,668
ARA,2021-04-24,168,48,1798,689
ARA,2021-04-25,137,32,1884,689
ARA,2021-04-26,188,39,1834,667
ARA,2021-04-27,180,57,1773,679
ARA,2021-04-28,163,37,1711,680
ARA,2021-04-29,161,34,1668,655
ARA,2021-04-30,159,37,1607,645
ARA,2021-05-01,112,23,1630,645
ARA,2021-05-02,83,26,1661,652
ARA,2021-05-03,135,39,1564,629
ARA,2021-05-04,144,32,1513,605
ARA,2021-05-05,117,26,1443,578
ARA,2021-05-06,120,28,1391,557
ARA,2021-05-07,85,32,1261,551
ARA,2021-05-08,75,17,1276,544
ARA,2021-05-09,58,16,1318,532
ARA,2021-05-10,115,25,1215,505
ARA,2021-05-11,98,18,1155,481
ARA,2021-05-12,79,13,1049,461
ARA,2021-05-13,51,14,1052,452
ARA,2021-05-14,63,15,969,424
ARA,2021-05-15,58,16,974,423
ARA,2021-05-16,47,9,991,420
ARA,2021-05-17,65,17,924,400
ARA,2021-05-18,73,21,851,396
ARA,2021-05-19,57,11,797,382
ARA,2021-05-20,44,10,729,367
ARA,2021-05-21,52,11,653,345
ARA,2021-05-22,46,9,656,346
ARA,2021-05-23,33,9,666,341
ARA,2021-05-24,55,11,683,349
ARA,2021-05-25,43,12,616,329
ARA,2021-05-26,43,12,558,313
ARA,2021-05-27,46,8,533,305
ARA,2021-05-28,44,8,503,286
ARA,2021-05-29,38,10,514,290
ARA,2021-05-30,32,17,524,300
ARA,2021-05-31,50,5,490,275
ARA,2021-06-01,44,10,466,268
ARA,2021-06-02,40,11,451,263
ARA,2021-06-03,28,7,407,253
ARA,2021-06-04,33,11,371,239
ARA,2021-06-05,16,5,358,237
ARA,2021-06-06,23,5,372,234
ARA,2021-06-07,46,5,351,222
ARA,2021-06-08,30,6,344,205
ARA,2021-06-09,26,3,324,192
ARA,2021-06-10,21,4,307,180
ARA,2021-06-11,27,9,278,169
ARA,2021-06-12,19,2,277,166
ARA,2021-06-13,17,2,288,166
ARA,2021-06-14,18,4,268,155
ARA,2021-06-15,22,3,241,146
ARA,2021-06-16,16,4,217,137
ARA,2021-06-17,20,4,209,127
ARA,2021-06-18,13,1,189,119
ARA,2021-06-19,13,2,187,117
ARA,2021-06-20,7,2,189,118
ARA,2021-06-21,15,4,176,112
ARA,2021-06-22,18,1,164,104
ARA,2021-06-23,8,3,138,98
ARA,2021-06-24,8,2,123,92
ARA,2021-06-25,8,1,105,91
ARA,2021-06-26,9,2,111,91
ARA,2021-06-27,8,1,112,90
ARA,2021-06-28,11,5,99,91
ARA,2021-06-29,10,2,94,84
ARA,2021-06-30,9,1,82,85
ARA,2021-07-01,4,2,76,81
ARA,2021-07-02,9,0,65,76
ARA,2021-07-03,4,3,65,78
ARA,2021-07-04,7,0,69,74
ARA,2021-07-05,7,3,58,69
ARA,2021-07-06,8,3,49,68
ARA,2021-07-07,8,3,48,65
ARA,2021-07-08,6,4,43,64
ARA,2021-07-09,2,0,40,62
BFC,2020-03-01,2,0,2,0
BFC,2020-03-02,4,0,6,0
BFC,2020-03-03,2,0,8,0
BFC,2020-03-04,2,0,10,0
BFC,2020-03-05,7,2,15,2
BFC,2020-03-06,13,0,25,2
BFC,2020-03-07,5,0,29,2
BFC,2020-03-08,6,1,32,3
BFC,2020-03-09,12,2,41,5
BFC,2020-03-10,17,2,54,6
BFC,2020-03-11,14,2,62,8
BFC,2020-03-12,18,3,74,11
BFC,2020-03-13,24,0,94,10
BFC,2020-03-14,17,6,102,16
BFC,2020-03-15,24,2,123,17
BFC,2020-03-16,102,21,181,36
BFC,2020-03-17,53,19,191,50
BFC,2020-03-18,74,12,229,61
BFC,2020-03-19,67,10,268,70
BFC,2020-03-20,90,16,310,83
BFC,2020-03-21,107,21,359,101
BFC,2020-03-22,78,7,396,102
BFC,2020-03-23,155,29,460,127
BFC,2020-03-24,126,25,510,148
BFC,2020-03-25,154,32,582,174
BFC,2020-03-26,143,26,636,194
BFC,2020-03-27,178,32,696,220
BFC,2020-03-28,164,30,765,243
BFC,2020-03-29,125,33,816,267
BFC,2020-03-30,148,29,835,279
BFC,2020-03-31,150,29,888,300
BFC,2020-04-01,116,20,886,310
BFC,2020-04-02,105,19,868,318
BFC,2020-04-03,141,25,868,327
BFC,2020-04-04,91,15,903,330
BFC,2020-04-05,73,10,935,325
BFC,2020-04-06,106,16,909,318
BFC,2020-04-07,89,10,886,313
BFC,2020-04-08,88,9,868,308
BFC,2020-04-09,92,9,872,302
BFC,2020-04-10,111,12,852,295
BFC,2020-04-11,66,7,861,290
BFC,2020-04-12,55,9,875,290
BFC,2020-04-13,72,11,904,296
BFC,2020-04-14,64,12,859,285
BFC,2020-04-15,68,13,819,285
BFC,2020-04-16,94,11,823,267
BFC,2020-04-17,65,8,813,248
BFC,2020-04-18,32,7,805,245
BFC,2020-04-19,36,7,814,243
BFC,2020-04-20,49,8,794,229
BFC,2020-04-21,42,8,754,222
BFC,2020-04-22,44,6,708,209
BFC,2020-04-23,54,3,683,193
BFC,2020-04-24,51,5,665,182
BFC,2020-04-25,29,4,667,177
BFC,2020-04-26,7,3,654,174
BFC,2020-04-27,33,2,609,164
BFC,2020-04-28,32,2,579,153
BFC,2020-04-29,31,9,544,153
BFC,2020-04-30,35,1,509,144
BFC,2020-05-01,19,2,520,140
BFC,2020-05-02,11,0,521,138
BFC,2020-05-03,12,2,530,132
BFC,2020-05-04,27,2,501,122
BFC,2020-05-05,27,1,479,109
BFC,2020-05-06,30,4,448,105
BFC,2020-05-07,19,3,387,100
BFC,2020-05-08,13,4,385,100
BFC,2020-05-09,19,4,390,102
BFC,2020-05-10,9,2,392,102
BFC,2020-05-11,11,2,355,93
BFC,2020-05-12,15,1,325,86
BFC,2020-05-13,15,0,300,85
BFC,2020-05-14,15,3,285,86
BFC,2020-05-15,13,0,253,81
BFC,2020-05-16,11,2,252,78
BFC,2020-05-17,3,0,253,76
BFC,2020-05-18,11,1,238,64
BFC,2020-05-19,13,0,225,60
BFC,2020-05-20,16,2,206,54
BFC,2020-05-21,6,0,205,55
BFC,2020-05-22,15,2,195,55
BFC,2020-05-23,8,0,195,54
BFC,2020-05-24,6,1,198,54
BFC,2020-05-25,10,1,174,51
BFC,2020-05-26,5,0,155,44
BFC,2020-05-27,4,0,142,42
BFC,2020-05-28,2,0,125,36
BFC,2020-05-29,3,0,108,34
BFC,2020-05-30,2,2,103,36
BFC,2020-05-31,4,0,104,35
BFC,2020-06-01,4,0,104,35
BFC,2020-06-02,5,0,89,29
BFC,2020-06-03,7,0,84,29
BFC,2020-06-04,3,1,71,28
BFC,2020-06-05,5,0,70,27
BFC,2020-06-06,3,0,71,27
BFC,2020-06-07,2,0,73,26
BFC,2020-06-08,3,1,66,26
BFC,2020-06-09,0,0,58,26
BFC,2020-06-10,5,1,51,26
BFC,2020-06-11,3,0,47,24
BFC,2020-06-12,1,1,43,24
BFC,2020-06-13,0,0,41,23
BFC,2020-06-14,2,0,42,23
BFC,2020-06-15,2,0,39,19
BFC,2020-06-16,2,0,33,18
BFC,2020-06-17,0,0,28,17
BFC,2020-06-18,1,0,27,17
BFC,2020-06-19,2,0,28,15
BFC,2020-06-20,1,0,28,15
BFC,2020-06-21,3,0,32,14
BFC,2020-06-22,2,1,31,15
BFC,2020-06-23,4,0,34,15
BFC,2020-06-24,2,0,35,14
BFC,2020-06-25,2,0,38,12
BFC,2020-06-26,7,1,41,13
BFC,2020-06-27,4,0,44,13
BFC,2020-06-28,0,0,42,13
BFC,2020-06-29,0,0,39,12
BFC,2020-06-30,4,0,37,8
BFC,2020-07-01,2,0,34,8
BFC,2020-07-02,3,0,34,6
BFC,2020-07-03,1,0,34,7
BFC,2020-07-04,2,0,34,7
BFC,2020-07-05,1,0,34,7
BFC,2020-07-06,1,0,32,7
BFC,2020-07-07,5,1,31,9
BFC,2020-07-08,0,0,28,9
BFC,2020-07-09,4,1,27,8
BFC,2020-07-10,5,0,32,7
BFC,2020-07-11,1,0,30,7
BFC,2020-07-12,2,0,31,6
BFC,2020-07-13,1,0,27,5
BFC,2020-07-14,4,1,29,6
BFC,2020-07-15,3,0,30,6
BFC,2020-07-16,2,0,29,5
BFC,2020-07-17,2,0,26,4
BFC,2020-07-18,4,0,28,4
BFC,2020-07-19,0,0,27,4
BFC,2020-07-20,2,0,22,4
BFC,2020-07-21,1,0,23,4
BFC,2020-07-22,3,0,24,4
BFC,2020-07-23,2,0,24,3
BFC,2020-07-24,1,0,19,3
BFC,2020-07-25,2,0,21,3
BFC,2020-07-26,4,0,25,3
BFC,2020-07-27,2,0,22,3
BFC,2020-07-28,2,0,20,3
BFC,2020-07-29,1,1,18,3
BFC,2020-07-30,2,0,19,3
BFC,2020-07-31,1,0,18,3
BFC,2020-08-01,1,0,18,3
BFC,2020-08-02,2,0,20,3
BFC,2020-08-03,2,0,21,3
BFC,2020-08-04,1,0,19,3
BFC,2020-08-05,3,0,22,3
BFC,2020-08-06,0,0,22,3
BFC,2020-08-07,3,0,23,3
BFC,2020-08-08,4,0,25,3
BFC,2020-08-09,4,0,28,3
BFC,2020-08-10,1,1,26,4
BFC,2020-08-11,7,0,31,3
BFC,2020-08-12,2,0,34,2
BFC,2020-08-13,3,0,37,2
BFC,2020-08-14,0,0,33,2
BFC,2020-08-15,2,0,33,2
BFC,2020-08-16,2,0,33,2
BFC,2020-08-17,0,0,31,2
BFC,2020-08-18,1,1,23,3
BFC,2020-08-19,3,0,20,2
BFC,2020-08-20,3,2,19,4
BFC,2020-08-21,1,1,15,5
BFC,2020-08-22,2,0,16,4
BFC,2020-08-23,0,0,16,4
BFC,2020-08-24,6,0,21,3
BFC,2020-08-25,2,0,20,3
BFC,2020-08-26,3,0,22,3
BFC,2020-08-27,4,1,24,4
BFC,2020-08-28,0,0,24,4
BFC,2020-08-29,4,0,27,4
BFC,2020-08-30,0,1,26,5
BFC,2020-08-31,5,1,29,6
BFC,2020-09-01,3,1,29,7
BFC,2020-09-02,9,0,36,7
BFC,2020-09-03,7,0,39,7
BFC,2020-09-04,3,1,38,7
BFC,2020-09-05,4,0,41,7
BFC,2020-09-06,3,0,44,7
BFC,2020-09-07,11,1,54,6
BFC,2020-09-08,8,1,57,6
BFC,2020-09-09,6,2,59,7
BFC,2020-09-10,8,1,61,7
BFC,2020-09-11,12,0,69,7
BFC,2020-09-12,3,0,70,6
BFC,2020-09-13,8,1,76,7
BFC,2020-09-14,9,2,73,9
BFC,2020-09-15,17,1,85,9
BFC,2020-09-16,8,2,79,10
BFC,2020-09-17,7,2,79,12
BFC,2020-09-18,19,2,87,13
BFC,2020-09-19,11,3,92,16
BFC,2020-09-20,13,2,100,17
BFC,2020-09-21,15,1,103,17
BFC,2020-09-22,19,3,106,20
BFC,2020-09-23,12,3,98,23
BFC,2020-09-24,21,3,108,24
BFC,2020-09-25,14,3,103,27
BFC,2020-09-26,9,3,106,28
BFC,2020-09-27,9,3,112,29
BFC,2020-09-28,16,2,118,27
BFC,2020-09-29,13,2,110,27
BFC,2020-09-30,14,4,108,26
BFC,2020-10-01,18,3,116,28
BFC,2020-10-02,15,4,117,30
BFC,2020-10-03,12,2,125,31
BFC,2020-10-04,12,2,135,31
BFC,2020-10-05,16,2,132,30
BFC,2020-10-06,22,1,142,31
BFC,2020-10-07,20,4,146,34
BFC,2020-10-08,20,5,154,35
BFC,2020-10-09,28,2,173,31
BFC,2020-10-10,31,5,192,35
BFC,2020-10-11,20,3,203,37
